"Match ID","Series","League","Start Date/Time","Match Length","Duration (secs)","Kills Score","","Winner","Radiant Team","Radiant Players","Dire Team","Dire Players"
"6416649440","639492","13379","05 фев 2022 07:10","36:47","2207","28-11","28,11","Radiant","Winstrike Team","Larl, SoNNeikO, Illusion, Daxak, Noticed","B8","Dendi, LagooNa, Gatciy, kenny, Mc314"
"6416550839","639405","13379","05 фев 2022 06:13","29:52","1792","14-23","14,23","Dire","Rune Eaters","Naive-, ArrOw, destroyed, Antares, HAze","Mind Games","Fn, Bignum, CemaTheSlayeR, 7jesu, Kazl"
"6416429255","639405","13379","05 фев 2022 05:09","40:38","2438","10-18","10,18","Dire","Rune Eaters","Naive-, ArrOw, destroyed, Antares, HAze","Mind Games","Fn, Bignum, CemaTheSlayeR, 7jesu, Kazl"
"6416306230","639405","13379","05 фев 2022 04:02","40:59","2459","23-25","23,25","Radiant","Rune Eaters","Naive-, ArrOw, destroyed, Antares, HAze","Mind Games","Fn, Bignum, CemaTheSlayeR, 7jesu, Kazl"
"6416172866","639321","13379","05 фев 2022 02:53","40:19","2419","39-27","39,27","Radiant","Brame","SkyLark, SsaSpartan, Lil, Nefrit, W1sh-","IVY","TheBloodySky, Jmn, lowskill, Mickee, Qupe"
"6416064159","639321","13379","05 фев 2022 01:55","33:21","2001","22-42","22,42","Dire","Brame","SkyLark, SsaSpartan, Lil, Nefrit, W1sh-","IVY","TheBloodySky, Jmn, lowskill, Mickee, Qupe"
"6415967823","639321","13379","05 фев 2022 01:00","25:04","1504","25-8","25,8","Radiant","Brame","SkyLark, SsaSpartan, Lil, Nefrit, W1sh-","IVY","TheBloodySky, Jmn, lowskill, Mickee, Qupe"
"6414867153","639081","13379","04 фев 2022 07:56","41:57","2517","26-11","26,11","Radiant","Unique","BLACKARXANGEL, Mannik, LastHero, y0nd, Licht `","chekoldyriki","Tablet Kee, Kom4rt, Smony, tae, kolyaКАБАН68"
"6414776443","639081","13379","04 фев 2022 06:59","27:28","1648","35-17","35,17","Radiant","Unique","BLACKARXANGEL, Mannik, LastHero, y0nd, Licht `","chekoldyriki","Tablet Kee, Kom4rt, Smony, 081, tae"
"6414596532","639020","13379","04 фев 2022 05:19","35:13","2113","29-16","29,16","Radiant","One Move","Mellojul, Funn1k, pantomem, Sayuw, Smiling Knight","Pari Parni","9pasha, Fng, RAMZES666, RodjER, Depressed kid"
"6414457048","639020","13379","04 фев 2022 04:00","47:41","2861","20-21","20,21","Radiant","One Move","Mellojul, Funn1k, pantomem, Sayuw, Smiling Knight","Pari Parni","9pasha, Fng, RAMZES666, RodjER, Cooman"
"6414310028","638975","13379","04 фев 2022 02:41","42:35","2555","22-33","22,33","Dire","Rune Eaters","Naive-, ArrOw, destroyed, Antares, HAze","Winstrike Team","ALWAYSWANNAFLY, Larl, Daxak, Noticed, Forcemajor"
"6414211450","638975","13379","04 фев 2022 01:44","27:54","1674","26-14","26,14","Radiant","Rune Eaters","Naive-, ArrOw, destroyed, Antares, HAze","Winstrike Team","ALWAYSWANNAFLY, Larl, Daxak, Noticed, Forcemajor"
"6414144876","638975","13379","04 фев 2022 12:59","16:24","984","3-16","3,16","Dire","Rune Eaters","Naive-, ArrOw, destroyed, Antares, HAze","Winstrike Team","ALWAYSWANNAFLY, Larl, Daxak, Noticed, Forcemajor"
"6413130789","638782","13379","03 фев 2022 07:59","39:24","2364","12-39","12,39","Dire","IVY","TheBloodySky, Jmn, lowskill, Mickee, Qupe","Winstrike Team","Larl, SoNNeikO, Daxak, Noticed, Forcemajor"
"6413037125","638782","13379","03 фев 2022 07:00","35:03","2103","13-45","13,45","Dire","IVY","TheBloodySky, Jmn, lowskill, Mickee, Qupe","Winstrike Team","Larl, SoNNeikO, Daxak, Noticed, Forcemajor"
"6412838985","638731","13379","03 фев 2022 05:00","40:43","2443","23-18","23,18","Radiant","Mind Games","Fn, Bignum, CemaTheSlayeR, 7jesu, Kazl","B8","Dendi, LagooNa, Gatciy, kenny, Mc314"
"6412730456","638731","13379","03 фев 2022 03:59","41:06","2466","16-26","16,26","Dire","B8","Dendi, LagooNa, Gatciy, kenny, Mc314","Mind Games","Fn, Bignum, CemaTheSlayeR, 7jesu, Kazl"
"6412593079","638695","13379","03 фев 2022 02:43","37:24","2244","24-37","24,37","Dire","Brame","SkyLark, SsaSpartan, Lil, Nefrit, W1sh-","Nemiga Gaming","VANSKOR, Fraser , Haaven, Kiritych~, Ainkrad"
"6412423811","638695","13379","03 фев 2022 01:02","1:13:32","4412","43-48","43,48","Dire","Brame","SkyLark, SsaSpartan, Lil, Nefrit, W1sh-","Nemiga Gaming","VANSKOR, Fraser , Haaven, Kiritych~, Ainkrad"
"6411224450","638375","13379","02 фев 2022 06:09","26:07","1567","4-25","4,25","Dire","One Move","Mellojul, DM, pantomem, Sayuw, Smiling Knight","Entity","Stormstormer, Fishman, Crystallis, Tobi, suzuya"
"6411127942","638375","13379","02 фев 2022 05:10","33:43","2023","27-5","27,5","Radiant","One Move","Mellojul, DM, pantomem, Sayuw, Smiling Knight","Entity","Stormstormer, Fishman, Crystallis, Tobi, suzuya"
"6410992308","638375","13379","02 фев 2022 04:00","43:43","2623","12-31","12,31","Dire","One Move","Mellojul, DM, pantomem, Sayuw, Smiling Knight","Entity","Stormstormer, Fishman, Crystallis, Tobi, suzuya"
"6410805998","638344","13379","02 фев 2022 02:05","23:15","1395","8-24","8,24","Dire","chekoldyriki","Tablet Kee, Kom4rt, Smony, 081, tae","HYDRA","Zayac, Askold, Blizzy, Dream`, Le don"
"6410706674","638344","13379","02 фев 2022 01:00","37:38","2258","32-20","32,20","Radiant","HYDRA","Zayac, Askold, Blizzy, Dream`, Le don","chekoldyriki","Tablet Kee, Kom4rt, Smony, 081, tae"
"6409825076","638185","13379","01 фев 2022 08:50","58:18","3498","28-43","28,43","Dire","IVY","TheBloodySky, Jmn, lowskill, Mickee, Qupe","B8","Dendi, LagooNa, Gatciy, kenny, Mc314"
"6409742125","638185","13379","01 фев 2022 07:48","35:14","2114","33-10","33,10","Radiant","B8","Dendi, LagooNa, Gatciy, kenny, Mc314","IVY","TheBloodySky, Jmn, lowskill, Mickee, Qupe"
"6409647293","638117","13379","01 фев 2022 06:42","33:39","2019","12-39","12,39","Dire","Brame","SkyLark, SsaSpartan, Lil, Nefrit, W1sh-","Winstrike Team","Larl, SoNNeikO, Daxak, Noticed, Forcemajor"
"6409509848","638117","13379","01 фев 2022 05:20","51:26","3086","41-28","41,28","Radiant","Brame","SkyLark, SsaSpartan, Lil, Nefrit, W1sh-","Winstrike Team","Larl, SoNNeikO, Daxak, Noticed, Forcemajor"
"6409416133","638117","13379","01 фев 2022 04:29","25:47","1547","25-10","25,10","Radiant","Winstrike Team","Larl, SoNNeikO, Daxak, Noticed, Forcemajor","Brame","SkyLark, SsaSpartan, Lil, Nefrit, W1sh-"
"6409278248","638082","13379","01 фев 2022 03:07","51:24","3084","26-50","26,50","Dire","Nemiga Gaming","VANSKOR, Haaven, Kiritych~, Ainkrad, TheChosenOne","Rune Eaters","Naive-, ArrOw, destroyed, Antares, HAze"
"6409178917","638082","13379","01 фев 2022 02:11","29:31","1771","28-14","28,14","Radiant","Nemiga Gaming","VANSKOR, Haaven, Kiritych~, Ainkrad, TheChosenOne","Rune Eaters","Naive-, ArrOw, destroyed, Antares, HAze"
"6409066736","638082","13379","01 фев 2022 01:01","45:10","2710","33-17","33,17","Radiant","Rune Eaters","Naive-, ArrOw, destroyed, Antares, HAze","Nemiga Gaming","VANSKOR, Haaven, Kiritych~, Ainkrad, TheChosenOne"
"6407848393","637836","13379","31 янв 2022 05:20","28:51","1731","18-26","18,26","Dire","Unique","BLACKARXANGEL, Mannik, LastHero, y0nd, Licht `","HYDRA","Zayac, Askold, Blizzy, Dream`, Le don"
"6407713899","637836","13379","31 янв 2022 04:02","51:23","3083","37-35","37,35","Radiant","HYDRA","Zayac, Askold, Blizzy, Dream`, Le don","Unique","BLACKARXANGEL, Mannik, LastHero, y0nd, Licht `"
"6407501843","637810","13379","31 янв 2022 01:54","19:59","1199","29-9","29,9","Radiant","Pari Parni","9pasha, Fng, RAMZES666, RodjER, Depressed kid","chekoldyriki","Tablet Kee, Kom4rt, Smony, 081, tae"
"6407432712","637810","13379","31 янв 2022 12:59","29:39","1779","12-30","12,30","Dire","chekoldyriki","Tablet Kee, Kom4rt, Smony, 081, tae","Pari Parni","9pasha, Fng, RAMZES666, RodjER, Depressed kid"
"6406569822","637548","13379","30 янв 2022 09:11","58:22","3502","38-30","38,30","Radiant","Mind Games","Fn, Bignum, CemaTheSlayeR, 7jesu, Kazl","Nemiga Gaming","VANSKOR, Mastery, Haaven, Kiritych~, Ainkrad"
"6406486216","637548","13379","30 янв 2022 08:10","34:47","2087","9-37","9,37","Dire","Nemiga Gaming","VANSKOR, Mastery, Haaven, Kiritych~, Ainkrad","Mind Games","Fn, Bignum, CemaTheSlayeR, 7jesu, Kazl"
"6406376972","637548","13379","30 янв 2022 07:00","43:38","2618","30-22","30,22","Dire","Mind Games","Fn, Bignum, CemaTheSlayeR, 7jesu, Kazl","Nemiga Gaming","VANSKOR, Mastery, Haaven, Kiritych~, Ainkrad"
"6406175772","637472","13379","30 янв 2022 05:12","38:10","2290","29-20","29,20","Radiant","Rune Eaters","Naive-, ArrOw, destroyed, Antares, HAze","B8","Dendi, LagooNa, Gatciy, kenny, Mc314"
"6406036075","637472","13379","30 янв 2022 04:01","43:33","2613","31-36","31,36","Dire","B8","Dendi, LagooNa, Gatciy, kenny, Mc314","Rune Eaters","Naive-, ArrOw, destroyed, Antares, HAze"
"6405903339","637414","13379","30 янв 2022 02:51","34:43","2083","18-26","18,26","Dire","HYDRA","Zayac, Askold, Blizzy, Dream`, Le don","Entity","Stormstormer, Fishman, Crystallis, Tobi, suzuya"
"6405791892","637414","13379","30 янв 2022 01:54","28:03","1683","35-15","35,15","Radiant","HYDRA","Zayac, Askold, Blizzy, Dream`, Le don","Entity","Stormstormer, Fishman, Crystallis, Tobi, suzuya"
"6405689672","637414","13379","30 янв 2022 01:00","28:53","1733","9-24","9,24","Dire","HYDRA","Zayac, Askold, Blizzy, Dream`, Le don","Entity","Stormstormer, Fishman, Crystallis, Tobi, suzuya"
"6404577451","637223","13379","29 янв 2022 08:10","37:39","2259","39-27","39,27","Radiant","Pari Parni","9pasha, Fng, RAMZES666, RodjER, Depressed kid","Unique","BLACKARXANGEL, Mannik, LastHero, y0nd, Licht `"
"6404477473","637223","13379","29 янв 2022 07:06","39:20","2360","28-17","28,17","Radiant","Pari Parni","9pasha, Fng, RAMZES666, RodjER, Depressed kid","Unique","BLACKARXANGEL, Mannik, LastHero, y0nd, Licht `"
"6403864131","637086","13379","29 янв 2022 01:48","23:22","1402","24-13","24,13","Radiant","One Move","Mellojul, AfterLife, pantomem, Sayuw, Smiling Knight","Into The Breach","Bengan, TANNER, Adzantick, Sym, Ari"
"6403780251","637086","13379","29 янв 2022 01:00","22:29","1349","24-8","24,8","Radiant","One Move","Mellojul, AfterLife, pantomem, Sayuw, Smiling Knight","Into The Breach","Bengan, TANNER, Adzantick, Sym, Ari"
"6402716181","636878","13379","28 янв 2022 08:08","45:02","2702","32-21","32,21","Radiant","Mind Games","Fn, Bignum, CemaTheSlayeR, 7jesu, Kazl","Brame","SkyLark, SsaSpartan, dEsire, Nefrit, W1sh-"
